"source","intensity","distance","X","Total","Yes","userID","Correct","signal"
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,145.25,10,8,"100_119",2,-4.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,147.375,10,8,"100_119",2,-2.625
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,149.5,10,2,"100_119",8,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,150.5,10,4,"100_119",4,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,152.625,10,5,"100_119",5,2.625
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,154.75,10,7,"100_119",7,4.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,156.875,10,6,"100_119",6,6.875
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,159,10,3,"100_119",3,9
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,198,10,2,"100_119",8,-2
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,198.475,10,2,"100_119",8,-1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,198.95,10,1,"100_119",9,-1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,199.425,10,2,"100_119",8,-0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,199.9,10,3,"100_119",7,-0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,200.1,10,6,"100_119",6,0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,200.575,9,6,"100_119",6,0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,201.05,10,6,"100_119",6,1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,201.525,11,9,"100_119",9,1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",200,9,202,10,8,"100_119",8,2
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,195,10,3,"100_119",7,-5
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,196.125,10,2,"100_119",8,-3.875
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,197.25,10,6,"100_119",4,-2.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,198.375,10,5,"100_119",5,-1.625
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,199.5,10,4,"100_119",6,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,200.5,10,4,"100_119",4,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,201.625,10,9,"100_119",9,1.625
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,202.75,10,8,"100_119",8,2.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,203.875,10,6,"100_119",6,3.875
